# k[h/Mpc]   R1   R2 
# 
1.0991e-02 1.6476e+02 -3.5825e+01
1.1092e-02 1.6810e+02 -3.6496e+01
1.1195e-02 1.7150e+02 -3.7177e+01
1.1299e-02 1.7497e+02 -3.7868e+01
1.1403e-02 1.7849e+02 -3.8569e+01
1.1509e-02 1.8207e+02 -3.9280e+01
1.1615e-02 1.8571e+02 -4.0002e+01
1.1723e-02 1.8941e+02 -4.0733e+01
1.1831e-02 1.9317e+02 -4.1475e+01
1.1941e-02 1.9700e+02 -4.2227e+01
1.2051e-02 2.0089e+02 -4.2990e+01
1.2163e-02 2.0485e+02 -4.3763e+01
1.2276e-02 2.0886e+02 -4.4546e+01
1.2389e-02 2.1294e+02 -4.5339e+01
1.2504e-02 2.1709e+02 -4.6142e+01
1.2620e-02 2.2129e+02 -4.6954e+01
1.2737e-02 2.2556e+02 -4.7776e+01
1.2854e-02 2.2989e+02 -4.8608e+01
1.2973e-02 2.3429e+02 -4.9449e+01
1.3094e-02 2.3874e+02 -5.0299e+01
1.3215e-02 2.4325e+02 -5.1158e+01
1.3337e-02 2.4783e+02 -5.2026e+01
1.3461e-02 2.5247e+02 -5.2902e+01
1.3585e-02 2.5717e+02 -5.3788e+01
1.3711e-02 2.6193e+02 -5.4682e+01
1.3838e-02 2.6676e+02 -5.5585e+01
1.3966e-02 2.7164e+02 -5.6496e+01
1.4095e-02 2.7659e+02 -5.7416e+01
1.4226e-02 2.8161e+02 -5.8344e+01
1.4357e-02 2.8669e+02 -5.9282e+01
1.4490e-02 2.9183e+02 -6.0227e+01
1.4625e-02 2.9704e+02 -6.1182e+01
1.4760e-02 3.0231e+02 -6.2145e+01
1.4897e-02 3.0765e+02 -6.3116e+01
1.5034e-02 3.1305e+02 -6.4095e+01
1.5174e-02 3.1852e+02 -6.5083e+01
1.5314e-02 3.2406e+02 -6.6079e+01
1.5456e-02 3.2966e+02 -6.7083e+01
1.5599e-02 3.3532e+02 -6.8095e+01
1.5743e-02 3.4105e+02 -6.9114e+01
1.5889e-02 3.4685e+02 -7.0140e+01
1.6036e-02 3.5270e+02 -7.1173e+01
1.6185e-02 3.5862e+02 -7.2213e+01
1.6335e-02 3.6460e+02 -7.3260e+01
